job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Marketing Intern,"US, NY, New York",Marketing,,"We're Food52, and we've created a groundbreaking and award-winning cooking site. We support, connect, and celebrate home cooks, and give them everything they need in one place.","Food52, a fast-growing, James Beard Award-winning online food community is currently interviewing full- and part-time unpaid interns to work in a small team of editors, executives, and developers in its New York City headquarters.","Experience with content management systems a major plus. Familiar with the Food52 editorial voice and aesthetic. Loves food, appreciates the importance of home cooking.",,0,1,0,Other,Internship,,,Marketing,0
2,Customer Service - Cloud Video Production,"NZ, Auckland",Success,"$40,000-$55,000","90 Seconds, the worlds Cloud Video Production Service. 90 Seconds makes video production fast, affordable, and all managed seamlessly in the cloud.","Our rapidly expanding business is looking for a talented Project Manager to manage the successful delivery of video projects, manage client communications and drive the production process.",Client focused - excellent customer service and communication skills. Outstanding computer knowledge and experience using online software.,Experience working on projects located around the world with an international brand. Opportunity to drive and grow production function.,0,1,0,Full-time,Not Applicable,,Marketing and Advertising,Customer Service,0
3,MAKE $5000 WEEKLY FROM HOME!!!,Anywhere,,$5000/week,Work from home opportunity! No experience needed! Guaranteed income!,URGENT: We need people to work from home immediately! Make $5000 per week guaranteed! No skills required! Just copy and paste! Click link now!,No requirements! Anyone can do this! Just need computer and internet!,GUARANTEED $5000 per week! Work from anywhere! Be your own boss! Financial freedom!,1,0,0,Full-time,Entry Level,,,,1
4,Software Engineer,"CA, San Francisco",Engineering,"$120,000-$160,000",We are a leading technology company focused on building innovative solutions that help businesses scale and grow.,We are seeking a talented Software Engineer to join our engineering team. You will work on developing scalable web applications using modern technologies.,"Bachelor's degree in Computer Science or related field. 3+ years of experience with Python, JavaScript, and React. Strong problem-solving skills.","Competitive salary, health insurance, dental, vision, 401k matching, flexible PTO, remote work options.",1,1,1,Full-time,Mid Level,Bachelor's Degree,Technology,Engineering,0
5,Data Entry Specialist URGENT HIRING,Remote Worldwide,,$3000-$8000,International company needs data entry specialists immediately. Very high pay for simple work.,URGENT HIRING: Need data entry specialists NOW! Simple copy/paste work! Very high pay! No experience needed! Must start immediately!,Must have computer. Must start today. No other requirements.,Very high pay! Work from home! Flexible hours! Easy work!,1,0,0,Full-time,Entry Level,,,Administrative,1
6,Product Manager,"WA, Seattle",Product,"$130,000-$170,000",Amazon is a Fortune 500 company and leading e-commerce platform. We are customer obsessed and strive to be Earth's Most Customer-Centric Company.,We are looking for a Product Manager to lead product strategy and development for our consumer marketplace. You will work with cross-functional teams to deliver innovative features.,MBA or equivalent experience. 5+ years of product management experience. Strong analytical skills and customer obsession. Experience with agile development.,"Competitive compensation, comprehensive health benefits, retirement savings plan, paid time off, employee stock purchase plan.",0,1,1,Full-time,Senior Level,Master's Degree,Technology,Product Management,0
7,EARN $500 DAILY WITH CRYPTO!!!,Online,,$500/day,Revolutionary crypto investment opportunity! Join thousands making massive profits daily!,ATTENTION: Crypto millionaires are sharing their secret! Earn $500+ daily with automated crypto trading! No experience needed! Join now before spots fill up!,Just $100 to start! Anyone can do this! Works on autopilot!,Guaranteed daily profits! Financial freedom! Retire early! Join crypto millionaires!,1,0,0,Other,Entry Level,,Finance,,1
8,UX Designer,"CA, Palo Alto",Design,"$100,000-$140,000",Google is a multinational technology company that specializes in Internet-related services and products.,We are seeking a UX Designer to join our design team. You will be responsible for creating intuitive and engaging user experiences for our products.,"Bachelor's degree in Design, HCI, or related field. 3+ years of UX design experience. Proficiency in design tools like Figma, Sketch. Strong portfolio.","Competitive salary, comprehensive health coverage, retirement plan, free meals, on-site fitness facilities, learning and development opportunities.",0,1,1,Full-time,Mid Level,Bachelor's Degree,Technology,Design,0
9,EARN $500 DAILY WITH CRYPTO!!! - Opportunity 1,Online,,$500/day,Revolutionary crypto investment opportunity! Join thousands making massive profits daily!,ATTENTION: Crypto millionaires are sharing their secret! Earn $500+ daily with automated crypto trading! No experience needed! Join now before spots fill up!,Just $100 to start! Anyone can do this! Works on autopilot!,Guaranteed daily profits! Financial freedom! Retire early! Join crypto millionaires!,1,0,0,Other,Entry Level,,Finance,,1
10,Software Engineer - Position 2,"CA, San Francisco",Engineering,"$120,000-$160,000",We are a leading technology company focused on building innovative solutions that help businesses scale and grow.,We are seeking a talented Software Engineer to join our engineering team. You will work on developing scalable web applications using modern technologies.,"Bachelor's degree in Computer Science or related field. 3+ years of experience with Python, JavaScript, and React. Strong problem-solving skills.","Competitive salary, health insurance, dental, vision, 401k matching, flexible PTO, remote work options.",1,1,1,Full-time,Mid Level,Bachelor's Degree,Technology,Engineering,0
11,Data Entry Specialist URGENT HIRING - Opportunity 3,Remote Worldwide,,$3000-$8000,International company needs data entry specialists immediately. Very high pay for simple work.,URGENT HIRING: Need data entry specialists NOW! Simple copy/paste work! Very high pay! No experience needed! Must start immediately!,Must have computer. Must start today. No other requirements.,Very high pay! Work from home! Flexible hours! Easy work!,1,0,0,Full-time,Entry Level,,,Administrative,1
